Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-08-23,179.36314392089844,179.78898080878903,176.60021337314086,176.78837280424742,52722800
2023-08-24,174.6691436767578,179.34336155038372,174.30272234931607,178.91752463221655,54945800
2023-08-25,176.8774871826172,177.41224254469248,174.1145567754665,175.6594223889941,51449600
2023-08-28,178.4421844482422,178.83829845949455,176.81809282485807,178.34314839003864,43820700
2023-08-29,182.3340301513672,183.10646293821267,177.75884901223952,177.9569059889832,53003900
2023-08-30,185.82980346679688,186.027875570887,182.9480417259573,183.14609871926743,60813900
2023-08-31,186.0476837158203,187.2855588991337,185.66146726305777,186.01797592028328,60794500
2023-09-01,187.6222686767578,188.07779827305947,186.45370666949987,187.65197647170007,45766500
2023-09-05,187.8599090576172,188.13719185182467,185.79018566129048,186.45368485534252,45280000
2023-09-06,181.1357879638672,187.01817274976997,179.70975345688714,186.57252563325392,81755800
2023-09-07,175.83766174316406,176.48136579557718,171.85665159906446,173.48074295917408,112488800
2023-09-08,176.45164489746094,178.49167556913386,176.06542850593996,176.6200091931817,65551300
2023-09-11,177.62022399902344,178.5511084974291,175.619813594627,178.3233437087065,58953100
2023-09-12,174.58990478515625,178.38275585399316,173.12426491742679,177.7489644157226,90370200
2023-09-13,172.5201873779297,175.58021106580875,172.29240747476095,174.7978655233742,84267900
2023-09-14,174.03533935546875,174.39184798430878,171.89628758242847,172.31221179761187,60895800
2023-09-15,173.3123779296875,174.7879302024377,172.1339337562196,174.76811997366346,109259500
2023-09-18,176.24368286132812,177.64000941385729,174.4611399337141,174.76813049970744,67257600
2023-09-19,177.33302307128906,177.88758863735939,175.41183870970377,175.79805509398693,51826900
2023-09-20,173.7877655029297,177.95692035427507,173.69862701203755,177.52118590379774,58436200
2023-09-21,172.24288940429688,174.58991092023126,172.17357625479622,172.85688574257026,63149100
2023-09-22,173.0945587158203,175.36235454947433,172.36174626663464,172.97572753179696,56725400
2023-09-25,174.37205505371094,175.25342159707597,172.46076787560256,172.510285906062,46172700
2023-09-26,170.29200744628906,173.50057001651604,169.99491440180657,173.12426626356617,64588900
2023-09-27,168.77684020996094,171.3615240971404,167.41023633579258,170.94559986493434,66921800
2023-09-28,169.03433227539062,170.36133082824708,165.9941036111019,167.69742105029528,56294400
2023-09-29,169.54930114746094,171.39126009408957,168.68772971206937,170.35144187875733,51861100
2023-10-02,172.06463623046875,172.6093042881744,169.2719827950215,169.55917827580257,52164500
2023-10-03,170.72772216796875,171.9458021063211,169.1630613901914,170.58908076573104,49594600
2023-10-04,171.9755096435547,172.5201776911012,169.31160010164683,169.43043127173715,53020300
2023-10-05,173.21340942382812,173.7481648763392,171.00502912591972,172.10426293848624,48527900
2023-10-06,175.7683563232422,176.26350633418187,171.50015053588783,172.1141468247828,57266700
2023-10-09,177.25381469726562,177.3132302836497,174.09475506108697,175.09495269037185,42390800
2023-10-10,176.6596221923828,177.9767230488949,176.22388776036024,176.3724418317021,43698000
2023-10-11,178.05596923828125,178.10548726772782,175.87731193966172,176.4714829606774,47551100
2023-10-12,178.95713806152344,180.57131695227565,177.30332359387822,178.3233466007442,56743100
2023-10-13,177.11517333984375,180.1652842541005,176.41205364228972,179.6602366589199,51427100
2023-10-16,176.98641967773438,177.34292828713865,174.79784999846225,175.0355274416581,52517000
2023-10-17,175.431640625,176.6893258679855,173.10444466932296,174.93649062028842,57549400
2023-10-18,174.13436889648438,175.85749653944856,173.4114540423014,173.87689630601963,54764400
2023-10-19,173.758056640625,176.11496052795673,173.4906713911534,174.33241738277906,59302900
2023-10-20,171.2030792236328,173.71843472751576,170.96540176933075,173.60950111647477,64244000
2023-10-23,171.32191467285156,172.32211231863303,168.2816861592976,169.25219112217718,55980100
2023-10-24,171.75762939453125,171.985394156852,169.7869270122857,171.3714130102576,43816600
2023-10-25,169.4403533935547,171.38133313025827,168.99470625930118,170.2127862637829,57157000
2023-10-26,165.2711639404297,169.71761631425704,164.06299674951495,168.71740365821697,70625300
2023-10-27,166.5883026123047,167.32113020792602,165.21178592419773,165.2910117543283,58499100
2023-10-30,168.63819885253906,169.50966778359705,167.23197451155576,167.3805285943209,51131000
2023-10-31,169.113525390625,169.24225410780494,166.27135428067592,167.70730128574397,44846000
2023-11-01,172.28250122070312,172.53997379429074,168.46983997695696,169.34130885799144,56934900
2023-11-02,175.84756469726562,176.0555192191985,173.75803125391445,173.81744683160957,77334800
2023-11-03,174.93649291992188,175.10485722122255,171.66851493448934,172.5498813500308,79829200
2023-11-06,177.49148559570312,177.68954259678722,174.50079012453784,174.66913933099835,63841300
2023-11-07,180.05633544921875,180.67031655305914,177.233974683982,177.44192920138337,70530000
2023-11-08,181.11595153808594,181.67051707486866,179.82855862153886,180.58119623069618,49340300
2023-11-09,180.64064025878906,182.3340449245472,180.04645416963677,181.18530832204868,53763500
2023-11-10,184.8351287841797,185.00371491529177,181.98922784820692,182.425536381392,66133400
2023-11-13,183.24856567382812,184.46823531200093,182.66352248721634,184.26000678217753,43627500
2023-11-14,185.8663787841797,186.5307520867399,184.73595008374065,186.12419054719692,60108400
2023-11-15,186.4315948486328,187.90909130382101,186.20353000343164,186.2729495954029,53790500
2023-11-16,188.11734008789062,189.35684600106327,187.06622636374277,187.9785160308428,54412900
2023-11-17,188.09750366210938,188.78171334674664,186.98691120628507,188.65279989002153,50922700
2023-11-20,189.8427276611328,190.29887250675844,188.2859160609316,188.2958266614519,46505100
2023-11-21,189.03953552246094,189.91215257469014,188.14709726863614,189.8030754431615,38134500
2023-11-22,189.70391845703125,191.31031344701395,189.2279523730899,189.88241519518988,39617700
2023-11-24,188.37513732910156,189.2973223945837,187.66118076777323,189.26757546541884,24048300
2023-11-27,188.19664001464844,189.06925694915728,187.3141124806788,188.32555346106983,40552600
2023-11-28,188.80152893066406,189.47582799498892,187.8099242301234,188.1867388581487,38415400
